Date,Open,High,Low,Close
02/24/2025,"6,026.69","6,043.65","5,977.83","5,983.25"
02/21/2025,"6,114.10","6,114.82","6,008.56","6,013.13"
02/20/2025,"6,134.50","6,134.50","6,084.59","6,117.52"
02/19/2025,"6,117.76","6,147.43","6,111.15","6,144.15"
02/18/2025,"6,121.60","6,129.63","6,099.51","6,129.58"
02/14/2025,"6,115.52","6,127.47","6,107.62","6,114.63"
02/13/2025,"6,060.59","6,116.91","6,050.95","6,115.07"
02/12/2025,"6,025.08","6,063.00","6,003.00","6,051.97"
02/11/2025,"6,049.32","6,076.28","6,042.34","6,068.50"
02/10/2025,"6,046.40","6,073.38","6,044.84","6,066.44"
02/07/2025,"6,083.13","6,101.28","6,019.96","6,025.99"
02/06/2025,"6,072.22","6,084.03","6,046.83","6,083.57"
02/05/2025,"6,020.45","6,062.86","6,007.06","6,061.48"
02/04/2025,"5,998.14","6,042.48","5,990.87","6,037.88"
02/03/2025,"5,969.65","6,022.13","5,923.93","5,994.57"
01/31/2025,"6,096.79","6,120.91","6,030.93","6,040.53"
01/30/2025,"6,050.75","6,086.64","6,027.46","6,071.17"
01/29/2025,"6,057.70","6,062.83","6,012.96","6,039.31"
01/28/2025,"6,026.97","6,074.54","5,994.63","6,067.70"
01/27/2025,"5,969.04","6,017.17","5,962.92","6,012.28"
01/24/2025,"6,121.43","6,128.18","6,088.74","6,101.24"
01/23/2025,"6,076.32","6,118.73","6,074.67","6,118.71"
01/22/2025,"6,081.39","6,100.81","6,076.13","6,086.37"
01/21/2025,"6,014.12","6,051.51","6,006.88","6,049.24"
01/17/2025,"5,995.40","6,014.96","5,978.44","5,996.66"
01/16/2025,"5,963.61","5,964.69","5,930.72","5,937.34"
01/15/2025,"5,905.21","5,960.61","5,905.21","5,949.91"
01/14/2025,"5,859.27","5,871.92","5,805.42","5,842.91"
01/13/2025,"5,782.02","5,838.61","5,773.31","5,836.22"
01/10/2025,"5,890.35","5,890.35","5,807.78","5,827.04"
01/08/2025,"5,910.66","5,927.89","5,874.78","5,918.25"
01/07/2025,"5,993.26","6,000.68","5,890.68","5,909.03"
01/06/2025,"5,982.81","6,021.04","5,960.01","5,975.38"
01/03/2025,"5,891.07","5,949.34","5,888.66","5,942.47"
01/02/2025,"5,903.26","5,935.09","5,829.53","5,868.55"
